,crop,azl,lbg,twi,nfk,area_iacs,SMI_magnitude,lst,ndvi,year,lstndvi,lstndvi_anom,SPEI_magnitude
238,rye,30.94,3.0,16.38,99.64,19.78,0.0,298.57,0.8,2013,372.88,-0.19,-0.88
239,rye,30.1,3.0,11.63,153.04,8.03,0.0,297.1,0.79,2013,375.69,-0.18,-1.04
240,triticale,30.96,3.0,13.19,217.94,4.69,0.0,299.42,0.81,2013,370.23,-0.15,-1.11
241,triticale,39.53,2.0,7.99,99.78,0.53,0.0,301.0,0.75,2013,403.89,-0.07,-0.95
242,triticale,32.75,3.0,9.4,111.14,1.7,0.0,299.37,0.79,2013,381.1,-0.13,-0.85
243,triticale,38.72,2.0,11.71,219.78,8.02,0.0,299.49,0.74,2013,406.73,-0.07,-0.92
244,winter_canola,35.33,2.0,12.7,191.53,4.21,0.0,298.12,0.86,2013,345.1,-0.14,-0.61
245,winter_canola,40.22,2.0,13.23,116.56,19.74,0.0,295.69,0.87,2013,339.23,-0.16,-0.95
246,winter_canola,51.22,1.0,10.29,148.38,51.44,0.0,297.34,0.88,2013,337.96,-0.16,-0.95
247,winter_canola,34.91,3.0,12.97,116.56,12.28,0.0,296.69,0.86,2013,343.35,-0.15,-0.86
248,winter_canola,40.13,2.0,8.51,131.04,7.76,0.0,297.26,0.86,2013,346.14,-0.14,-0.95
